no_of_accidents,accident_severity,number_of_vehicles,number_of_casualties,first_road_class,first_road_number,road_type,speed_limit,junction_detail,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,trunk_road_flag,year,hour,day_1,day_2,day_3,day_4,day_5,day_6,day_7,location,month
1.0,3.0,1.0,1.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
1.0,3.0,1.0,1.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,2.0,2.0,1.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
1.0,3.0,2.0,2.0,6.0,0.0,6.0,30.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0
2.0,2.0,5.0,4.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
1.0,2.0,2.0,6.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,1.0,2.0,2019.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0
1.0,3.0,2.0,1.0,6.0,0.0,6.0,30.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2020.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
1.0,3.0,2.0,1.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2020.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0
1.0,3.0,2.0,1.0,6.0,0.0,6.0,30.0,3.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,2020.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0
1.0,3.0,1.0,2.0,6.0,0.0,6.0,30.0,6.0,0.0,5.0,4.0,2.0,2.0,0.0,0.0,1.0,2.0,2017.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
1.0,3.0,5.0,1.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2017.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0
1.0,3.0,2.0,1.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,1.0,2.0,2017.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
1.0,1.0,1.0,1.0,3.0,45.0,3.0,40.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
2.0,3.0,4.0,3.0,3.0,45.0,3.0,40.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,10.0
2.0,3.0,5.0,2.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,11.0
1.0,3.0,1.0,1.0,3.0,45.0,3.0,40.0,3.0,0.0,4.0,4.0,1.0,2.0,0.0,0.0,1.0,2.0,2018.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
1.0,3.0,2.0,1.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0
1.0,2.0,3.0,1.0,3.0,45.0,3.0,40.0,6.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
1.0,3.0,2.0,1.0,6.0,0.0,6.0,30.0,3.0,0.0,8.0,4.0,1.0,2.0,0.0,0.0,1.0,2.0,2018.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0
1.0,3.0,4.0,3.0,3.0,45.0,3.0,40.0,6.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
1.0,2.0,1.0,1.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
2.0,3.0,4.0,3.0,6.0,0.0,6.0,30.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,11.0
1.0,2.0,2.0,2.0,3.0,45.0,3.0,40.0,6.0,0.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2020.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0
1.0,3.0,2.0,3.0,3.0,45.0,3.0,40.0,6.0,0.0,5.0,4.0,1.0,2.0,0.0,0.0,1.0,2.0,2020.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
1.0,3.0,2.0,1.0,3.0,45.0,3.0,40.0,6.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2020.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0
1.0,3.0,2.0,2.0,6.0,0.0,6.0,30.0,3.0,0.0,8.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2020.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0
1.0,3.0,2.0,1.0,3.0,45.0,3.0,40.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
1.0,2.0,1.0,2.0,3.0,45.0,3.0,40.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,1.0,2.0,2017.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0
